sta_code,source,count_correct,count_total,pol_accuracy,weight_correct,weight_total,weight_pol_accuracy
1584B.10.HNZ,con_p,0,1,0.0,0.0,1.0,0.0
79036.--.HNZ,con_p,0,1,0.0,0.0,1.0,0.0
79668.10.HNZ,con_p,0,1,0.0,0.0,1.0,0.0
89464.--.HNZ,con_p,0,1,0.0,0.0,1.0,0.0
89509.--.HNZ,con_p,0,1,0.0,0.0,1.0,0.0
89781.--.HNZ,con_p,0,1,0.0,0.0,1.0,0.0
99144.10.HNZ,con_p,0,1,0.0,0.0,1.0,0.0
99640.--.HNZ,con_p,0,1,0.0,0.0,1.0,0.0
BARR.00.HHZ,con_p,0,1,0.0,0.0,1.0,0.0
CM02A.--.EHZ,con_p,0,1,0.0,0.0,1.0,0.0
CM04A.--.EHZ,con_p,0,1,0.0,0.0,1.0,0.0
CM05A.--.EHZ,con_p,0,1,0.0,0.0,1.0,0.0
CM06A.--.EHZ,con_p,0,1,0.0,0.0,1.0,0.0
CM07A.--.EHZ,con_p,0,1,0.0,0.0,1.0,0.0
CM08A.--.EHZ,con_p,0,2,0.0,0.0,2.0,0.0
CM09A.--.EHZ,con_p,0,1,0.0,0.0,1.0,0.0
CM10A.--.EHZ,con_p,0,2,0.0,0.0,2.0,0.0
FS06B.--.BHZ,con_p,0,1,0.0,0.0,1.0,0.0
FS11B.--.HHZ,con_p,0,1,0.0,0.0,1.0,0.0
FS12D.--.HHZ,con_p,0,1,0.0,0.0,1.0,0.0
FS14D.--.HHZ,con_p,0,2,0.0,0.0,2.0,0.0
FS17B.--.HHZ,con_p,0,1,0.0,0.0,1.0,0.0
G02B.--.BHZ,con_p,0,2,0.0,0.0,2.0,0.0
G10B.--.BHZ,con_p,0,1,0.0,0.0,1.0,0.0
G10D.--.BHZ,con_p,0,1,0.0,0.0,1.0,0.0
G17B.--.HHZ,con_p,0,1,0.0,0.0,1.0,0.0
GHG.--.EHZ,con_p,0,3,0.0,0.0,3.0,0.0
GHGB.01.HNZ,con_p,0,1,0.0,0.0,1.0,0.0
GUMB.00.HHZ,con_p,0,1,0.0,0.0,1.0,0.0
GVA.01.HNZ,con_p,0,1,0.0,0.0,1.0,0.0
K002.01.HNZ,con_p,0,2,0.0,0.0,2.0,0.0
K004.01.HNZ,con_p,0,3,0.0,0.0,3.0,0.0
KJJ.--.EHZ,con_p,0,1,0.0,0.0,1.0,0.0
ME47.01.BHZ,con_p,0,1,0.0,0.0,1.0,0.0
KTR.--.EHZ,con_p,1,5,20.0,1.0,5.0,20.0
79435.10.HNZ,con_p,1,4,25.0,1.0,4.0,25.0
89464.10.HNZ,con_p,1,4,25.0,1.0,4.0,25.0
KRK.01.HNZ,con_p,1,4,25.0,1.0,4.0,25.0
M02C.--.BHZ,con_p,1,4,25.0,1.0,4.0,25.0
89462.10.HNZ,con_p,2,7,28.6,2.0,7.0,28.6
KCO.--.EHZ,con_p,3,10,30.0,3.0,10.0,30.0
O02D.--.HHZ,con_p,2,6,33.3,2.0,6.0,33.3
