station,location,channel,start_time,end_time
ME63,01,BHZ,1900-01-01,2200-01-01
ME57,01,BHZ,1900-01-01,2200-01-01
ME07,01,BHZ,1900-01-01,2200-01-01
ME04,01,BHZ,1900-01-01,2200-01-01
ME03,01,BHZ,1900-01-01,2200-01-01
ME01,01,BHZ,1900-01-01,2200-01-01
KSXB,--,HHZ,1900-01-01,2200-01-01
KRP,--,HHZ,1900-01-01,2200-01-01
KRMB,--,HHZ,1900-01-01,2200-01-01
KMR,--,HHZ,1900-01-01,2200-01-01
KMPB,--,HHZ,1900-01-01,2200-01-01
KHMB,--,HHZ,1900-01-01,2200-01-01
KHBB,--,HHZ,1900-01-01,2200-01-01
KCT,--,HHZ,1900-01-01,2200-01-01
KCPB,--,HHZ,1900-01-01,2200-01-01
GWR,--,EHZ,1900-01-01,2200-01-01
GVV,--,EHZ,1900-01-01,2200-01-01
GTS,--,EHZ,1900-01-01,2200-01-01
GRO,--,EHZ,1900-01-01,2200-01-01
GHM,--,EHZ,1900-01-01,2200-01-01
GHL,--,EHZ,1900-01-01,2200-01-01
GHG,--,EHZ,1900-01-01,2200-01-01
GCW,--,EHZ,1900-01-01,2200-01-01
YBH,--,HHZ,1900-01-01,2200-01-01
WDC,--,HHZ,1900-01-01,2200-01-01
JCC,--,HHZ,1900-01-01,2200-01-01
ME08,01,BHZ,1900-01-01,2200-01-01
GASB,--,HHZ,1900-01-01,2200-01-01
ME09,01,BHZ,1900-01-01,2200-01-01
ME27,01,BHZ,1900-01-01,2200-01-01
ME54,01,BHZ,1900-01-01,2200-01-01
ME52,01,BHZ,1900-01-01,2200-01-01
ME50,01,BHZ,1900-01-01,2200-01-01
ME49,01,BHZ,1900-01-01,2200-01-01
ME47,01,BHZ,1900-01-01,2200-01-01
ME46,01,BHZ,1900-01-01,2200-01-01
ME45,01,BHZ,1900-01-01,2200-01-01
ME44,01,BHZ,1900-01-01,2200-01-01
ME43,01,BHZ,1900-01-01,2200-01-01
ME42,01,BHZ,1900-01-01,2200-01-01
ME41,01,BHZ,1900-01-01,2200-01-01
ME39,01,BHZ,1900-01-01,2200-01-01
ME38,01,BHZ,1900-01-01,2200-01-01
ME37,01,BHZ,1900-01-01,2200-01-01
ME36,01,BHZ,1900-01-01,2200-01-01
ME35,01,BHZ,1900-01-01,2200-01-01
ME34,01,BHZ,1900-01-01,2200-01-01
ME33,01,BHZ,1900-01-01,2200-01-01
ME32,01,BHZ,1900-01-01,2200-01-01
ME31,01,BHZ,1900-01-01,2200-01-01
ME30,01,BHZ,1900-01-01,2200-01-01
ME29,01,BHZ,1900-01-01,2200-01-01
ME13,01,BHZ,1900-01-01,2200-01-01
ME56,01,BHZ,1900-01-01,2200-01-01
ME53,01,BHZ,1900-01-01,2200-01-01
GHO,--,EHZ,1900-01-01,2200-01-01
GNA,02,EHZ,1900-01-01,2200-01-01
B045,--,EHZ,1900-01-01,2200-01-01
B935,--,EHZ,1900-01-01,2200-01-01
B933,--,EHZ,1900-01-01,2200-01-01
B049,--,EHZ,1900-01-01,2200-01-01
B047,--,EHZ,1900-01-01,2200-01-01
B046,--,EHZ,1900-01-01,2200-01-01
B934,--,EHZ,1900-01-01,2200-01-01
M02C,--,BHZ,1900-01-01,2200-01-01
B932,--,EHZ,1900-01-01,2200-01-01
N02D,--,BHZ,1900-01-01,2200-01-01
O02D,--,BHZ,1900-01-01,2200-01-01
GTC,--,EHZ,1900-01-01,2200-01-01
KKP,--,EHZ,1900-01-01,2200-01-01
KJJ,--,EHZ,1900-01-01,2200-01-01
KIP,--,EHZ,1900-01-01,2200-01-01
KFP,--,EHZ,1900-01-01,2200-01-01
KCS,--,EHZ,1900-01-01,2200-01-01
KCR,02,EHZ,1900-01-01,2200-01-01
KBN,--,EHZ,1900-01-01,2200-01-01
KOM,--,EHZ,1900-01-01,2200-01-01
KRK,--,EHZ,1900-01-01,2200-01-01
LSF,--,EHZ,1900-01-01,2200-01-01
LRB,--,EHZ,1900-01-01,2200-01-01
LPG,--,EHZ,1900-01-01,2200-01-01
LGP,--,EHZ,1900-01-01,2200-01-01
LBP,--,EHZ,1900-01-01,2200-01-01
LBK,--,EHZ,1900-01-01,2200-01-01
LAMB,--,EHZ,1900-01-01,2200-01-01
KTR,--,EHZ,1900-01-01,2200-01-01
KSM,02,EHZ,1900-01-01,2200-01-01
LVR,--,EHZ,1900-01-01,2200-01-01
KCO,--,EHZ,1900-01-01,2200-01-01
M14B,--,BHZ,1900-01-01,2200-01-01
G19B,--,BHZ,1900-01-01,2200-01-01
G17B,--,HHZ,1900-01-01,2200-01-01
LPK,--,EHZ,1900-01-01,2200-01-01
FS01B,--,BHZ,1900-01-01,2200-01-01
FS13B,--,HHZ,1900-01-01,2200-01-01
FS09B,--,BHZ,1900-01-01,2200-01-01
FS04B,--,HHZ,1900-01-01,2200-01-01
FS02B,--,HHZ,1900-01-01,2200-01-01
KPP,--,EHZ,1900-01-01,2200-01-01
FS20B,--,HHZ,1900-01-01,2200-01-01
FS11B,--,HHZ,1900-01-01,2200-01-01
KBS,02,EHZ,1900-01-01,2200-01-01
K004,01,HNZ,1900-01-01,2200-01-01
FS12B,--,HHZ,1900-01-01,2200-01-01
G02B,--,BHZ,1900-01-01,2200-01-01
FS17B,--,HHZ,1900-01-01,2200-01-01
FS05B,--,BHZ,1900-01-01,2200-01-01
G10B,--,BHZ,1900-01-01,2200-01-01
G18B,--,HHZ,1900-01-01,2200-01-01
K002,01,HNZ,1900-01-01,2200-01-01
FS06B,--,BHZ,1900-01-01,2200-01-01
K003,01,HNZ,1900-01-01,2200-01-01
99640,--,HNZ,1900-01-01,2200-01-01
89781,--,HNZ,1900-01-01,2200-01-01
89509,--,HNZ,1900-01-01,2200-01-01
89462,--,HNZ,1900-01-01,2200-01-01
89255,--,HNZ,1900-01-01,2200-01-01
89101,--,HNZ,1900-01-01,2200-01-01
GB260,--,HHZ,1900-01-01,2200-01-01
GB080,--,HHZ,1900-01-01,2200-01-01
GB360,--,HHZ,1900-01-01,2200-01-01
G09D,--,BHZ,1900-01-01,2200-01-01
G01D,--,BHZ,1900-01-01,2200-01-01
FS07D,--,BHZ,1900-01-01,2200-01-01
FS41D,--,BHZ,1900-01-01,2200-01-01
FS17D,--,HHZ,1900-01-01,2200-01-01
FS16D,--,BHZ,1900-01-01,2200-01-01
FS15D,--,HHZ,1900-01-01,2200-01-01
FS14D,--,HHZ,1900-01-01,2200-01-01
FS11D,--,HHZ,1900-01-01,2200-01-01
FS09D,--,BHZ,1900-01-01,2200-01-01
FS06D,--,BHZ,1900-01-01,2200-01-01
FS04D,--,BHZ,1900-01-01,2200-01-01
CM10A,--,EHZ,1900-01-01,2200-01-01
CM09A,--,EHZ,1900-01-01,2200-01-01
CM08A,--,EHZ,1900-01-01,2200-01-01
CM07A,--,EHZ,1900-01-01,2200-01-01
CM06A,--,EHZ,1900-01-01,2200-01-01
CM05A,--,EHZ,1900-01-01,2200-01-01
CM04A,--,EHZ,1900-01-01,2200-01-01
CM03A,--,EHZ,1900-01-01,2200-01-01
CM02A,--,EHZ,1900-01-01,2200-01-01
CM01A,--,EHZ,1900-01-01,2200-01-01
FS02D,--,BHZ,1900-01-01,2200-01-01
FS13D,--,BHZ,1900-01-01,2200-01-01
FS12D,--,HHZ,1900-01-01,2200-01-01
FS10D,--,BHZ,1900-01-01,2200-01-01
G10D,--,BHZ,1900-01-01,2200-01-01
G02D,--,HHZ,1900-01-01,2200-01-01
FS42D,--,HHZ,1900-01-01,2200-01-01
FS43D,--,HHZ,1900-01-01,2200-01-01
1746,--,HNZ,1900-01-01,2200-01-01
1584,--,HNZ,1900-01-01,2200-01-01
1582,--,HNZ,1900-01-01,2200-01-01
1586,--,HNZ,1900-01-01,2200-01-01
TRIN,00,HHZ,1900-01-01,2200-01-01
PETY,00,HHZ,1900-01-01,2200-01-01
1023,10,HNZ,1900-01-01,2200-01-01
1580,01,HNZ,1900-01-01,2200-01-01
SCOT,00,HHZ,1900-01-01,2200-01-01
DCMP,00,HHZ,1900-01-01,2200-01-01
TRNT,20,HNZ,1900-01-01,2200-01-01
SIGP,00,HHZ,1900-01-01,2200-01-01
WEAV,00,HHZ,1900-01-01,2200-01-01
89464,10,HNZ,1900-01-01,2200-01-01
1591,10,HNZ,1900-01-01,2200-01-01
79435,10,HNZ,1900-01-01,2200-01-01
KPR,01,HNZ,1900-01-01,2200-01-01
GMR,01,HNZ,1900-01-01,2200-01-01
KBU,01,HNZ,1900-01-01,2200-01-01
G007,01,HNZ,1900-01-01,2200-01-01
MNDO,00,HHZ,1900-01-01,2200-01-01
PETL,00,HHZ,1900-01-01,2200-01-01
79036,--,HNZ,1900-01-01,2200-01-01
79298,10,HNZ,1900-01-01,2200-01-01
BRIC,00,HHZ,1900-01-01,2200-01-01
G006,01,HNZ,1900-01-01,2200-01-01
99144,10,HNZ,1900-01-01,2200-01-01
99017,10,HNZ,1900-01-01,2200-01-01
79666,10,HNZ,1900-01-01,2200-01-01
1581,10,HNZ,1900-01-01,2200-01-01
RVIT,00,HHZ,1900-01-01,2200-01-01
INGL,00,HHZ,1900-01-01,2200-01-01
HAYF,00,HHZ,1900-01-01,2200-01-01
DMOR,00,HHZ,1900-01-01,2200-01-01
DLIK,00,HHZ,1900-01-01,2200-01-01
BARR,00,HHZ,1900-01-01,2200-01-01
GNR,01,HNZ,1900-01-01,2200-01-01
SANG,00,HHZ,1900-01-01,2200-01-01
RBOW,00,HHZ,1900-01-01,2200-01-01
79046,10,HNZ,1900-01-01,2200-01-01
GTSB,00,HHZ,1900-01-01,2200-01-01
MILL,00,HHZ,1900-01-01,2200-01-01
GBL,01,HNZ,1900-01-01,2200-01-01
89688,10,HNZ,1900-01-01,2200-01-01
SBAR,00,HHZ,1900-01-01,2200-01-01
KCSB,01,HNZ,1900-01-01,2200-01-01
GUMB,00,HHZ,1900-01-01,2200-01-01
GVA,01,HNZ,1900-01-01,2200-01-01
GROB,01,HNZ,1900-01-01,2200-01-01
KPPB,01,HNZ,1900-01-01,2200-01-01
1584B,10,HNZ,1900-01-01,2200-01-01
PRDS,00,HHZ,1900-01-01,2200-01-01
KNEE,00,HHZ,1900-01-01,2200-01-01
GHOP,00,HHZ,1900-01-01,2200-01-01
BLAS,00,HHZ,1900-01-01,2200-01-01
HUNT,00,HHZ,1900-01-01,2200-01-01
GHGB,01,HNZ,1900-01-01,2200-01-01
79668,10,HNZ,1900-01-01,2200-01-01
KTD,01,HNZ,1900-01-01,2200-01-01
