station,location,channel,latitude,longitude,elevation
AL1,--,DPZ,38.83822,-122.88345,704
AL1,--,DPE,38.83822,-122.88345,704
AL1,--,DPZ,38.83822,-122.88345,704
AL1,--,DPN,38.83822,-122.88345,704
HBW,--,DPZ,38.85853,-122.87569,985
HBW,--,DPZ,38.85853,-122.87569,985
HBW,--,DPE,38.85853,-122.87569,985
HBW,--,DPN,38.85853,-122.87569,985
BARR,00,HHZ,39.30477,-123.19748,264
BARR,00,HHE,39.30477,-123.19748,264
BARR,00,HHZ,39.30477,-123.19748,264
BARR,00,HHN,39.30477,-123.19748,264
BONV,00,HHZ,38.98742,-123.34856,196
BONV,00,HHZ,38.98742,-123.34856,196
BONV,00,HHE,38.98742,-123.34856,196
BONV,00,HHN,38.98742,-123.34856,196
HOPS,00,HHZ,38.99349,-123.07234,299
HOPS,00,HHZ,38.99349,-123.07234,299
HOPS,00,HHN,38.99349,-123.07234,299
HOPS,00,HHE,38.99349,-123.07234,299
INGL,00,HHZ,39.52898,-123.69844,290
INGL,00,HHE,39.52898,-123.69844,290
INGL,00,HHN,39.52898,-123.69844,290
INGL,00,HHZ,39.52898,-123.69844,290
MNDO,00,HHZ,39.31418,-123.74511,179
MNDO,00,HHE,39.31418,-123.74511,179
MNDO,00,HHN,39.31418,-123.74511,179
MNDO,00,HHZ,39.31418,-123.74511,179
RVIT,00,HHZ,39.90629,-123.37859,781
RVIT,00,HHZ,39.90629,-123.37859,781
RVIT,00,HHE,39.90629,-123.37859,781
RVIT,00,HHN,39.90629,-123.37859,781
GBL,01,EHZ,39.11709,-123.70883,144
GBL,01,EHZ,39.11709,-123.70883,144
GDCB,01,EHZ,38.76746,-123.23972,773
GDCB,01,EHZ,38.76746,-123.23972,773
GHGB,01,EHZ,39.12745,-122.82347,858
GHGB,01,EHZ,39.12745,-122.82347,858
GHO,01,EHZ,39.04446,-123.54109,671
GHO,01,EHZ,39.04446,-123.54109,671
GMR,01,EHZ,39.13317,-123.46788,370
GMR,01,HNZ,39.13317,-123.46788,370
GMR,01,EHZ,39.13317,-123.46788,370
GMR,01,HNZ,39.13317,-123.46788,370
GMR,01,HNE,39.13317,-123.46788,370
GMR,01,HNN,39.13317,-123.46788,370
GNR,01,EHZ,39.20074,-123.63514,327
GNR,01,HNZ,39.20074,-123.63514,327
GNR,01,EHZ,39.20074,-123.63514,327
GNR,01,HNZ,39.20074,-123.63514,327
GNR,01,HNE,39.20074,-123.63514,327
GNR,01,HNN,39.20074,-123.63514,327
GPM,03,EHZ,38.84498,-122.94637,736
GPM,03,EHZ,38.84498,-122.94637,736
GSN,01,EHZ,38.9404,-123.19245,849
GSN,01,EHZ,38.9404,-123.19245,849
GTC,--,EHZ,39.39944,-123.55532,369
GTC,--,EHZ,39.39944,-123.55532,369
GWR,01,EHZ,39.20575,-123.3011,654
GWR,01,HNZ,39.20575,-123.3011,654
GWR,01,EHZ,39.20575,-123.3011,654
GWR,01,HNE,39.20575,-123.3011,654
GWR,01,HNN,39.20575,-123.3011,654
GWR,01,HNZ,39.20575,-123.3011,654
GWW,01,EHZ,38.83284,-123.53082,337
GWW,01,EHZ,38.83284,-123.53082,337
KBN,--,EHZ,39.89237,-123.19503,1329
KBN,--,EHZ,39.89237,-123.19503,1329
KFP,01,EHZ,39.63889,-123.42514,768
KFP,--,EHZ,39.63889,-123.42514,768
KFP,01,EHZ,39.63889,-123.42514,768
KFP,--,EHZ,39.63889,-123.42514,768
KIP,01,EHZ,39.80852,-123.48129,1341
KIP,01,EHZ,39.80852,-123.48129,1341
KRK,01,EHZ,39.56315,-123.18367,1259
KRK,01,HNZ,39.56315,-123.18367,1259
KRK,01,EHZ,39.56315,-123.18367,1259
KRK,01,HNZ,39.56315,-123.18367,1259
KRK,01,HNE,39.56315,-123.18367,1259
KRK,01,HNN,39.56315,-123.18367,1259
KCPB,--,HHZ,39.68631,-123.58242,1261
KCPB,--,HHZ,39.68631,-123.58242,1261
KCPB,--,HHN,39.68631,-123.58242,1261
KCPB,--,HHE,39.68631,-123.58242,1261
DCMP,00,HHZ,39.46897,-123.3375,448
DCMP,00,HNZ,39.46897,-123.3375,448
DCMP,00,HHZ,39.46897,-123.3375,448
DCMP,00,HNE,39.46897,-123.3375,448
DCMP,00,HNN,39.46897,-123.3375,448
DCMP,00,HNZ,39.46897,-123.3375,448
79668,10,HNZ,39.3907,-123.3433,432
79668,10,HNE,39.3907,-123.3433,432
79668,10,HNZ,39.3907,-123.3433,432
79668,10,HNN,39.3907,-123.3433,432
GRT,01,EHZ,38.93867,-122.6711,590
GRT,01,EHZ,38.93867,-122.6711,590
GRO,--,EHZ,39.91684,-122.67117,1261
GRO,--,EHZ,39.91684,-122.67117,1261
GGPC,01,EHZ,38.76877,-122.8465,918
GGPC,01,EHZ,38.76877,-122.8465,918
PETY,00,HHZ,40.1766,-122.7884,962
PETY,00,HHE,40.1766,-122.7884,962
PETY,00,HHN,40.1766,-122.7884,962
PETY,00,HHZ,40.1766,-122.7884,962
GVV,--,EHZ,39.7751,-122.67551,1457
GVV,--,EHZ,39.7751,-122.67551,1457
GCK,--,EHZ,39.54376,-122.43668,251
GCK,--,EHZ,39.54376,-122.43668,251
GFC,01,EHZ,39.32654,-122.28882,73
GFC,01,EHZ,39.32654,-122.28882,73
